TEI ID,TITLE,LEVEL,TYPE,PARENT NODE,URL,Notes
c53420,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c53640,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c53750,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c54300,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c55260,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c55790,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c55800,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c55850,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c55980,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c56630,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c58220,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c58350,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c58380,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c58420,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c58780,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c58990,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c59080,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c59180,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c63590,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51570,Annuaire de la Presse,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32696515d/date,
c54030,Annuaire de la Presse,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32696515d/date,
c58800,Annuaire de la Presse,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32696515d/date,
c60510,Annuaire de la Presse,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32696515d/date,
c65050,Annuaire de la Presse,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32696515d/date,
c70610,Gaulois,j,,p,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c70880,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c70890,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c70890,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c70890,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c70920,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c70980,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c71020,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c71170,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c71170,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c71190,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c71260,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c71270,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c71280,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c71570,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c71570,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c72520,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c72520,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c72530,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c72530,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c72660,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c72890,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c73560,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c74110,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c74300,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c22620,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c22630,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c22890,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c22990,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c23000,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c23010,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c24130,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c24820,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c24850,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c24960,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25000,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25180,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25220,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25220,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25220,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25270,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25280,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25370,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25370,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25370,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25380,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25400,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25410,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25530,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25550,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25560,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25570,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25610,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25630,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25630,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25730,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25740,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25760,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25760,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c25770,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26090,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26150,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26160,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26210,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26240,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26350,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26810,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26810,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26820,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c26880,Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
